result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,xG_predicted
win,4.24,-3.7,-0.75,-2.42,0.86,0.1,-27,153,-22,176,0.928241532
win,3.1,-1.7,-1.12,-1.44,-2.06,-5.06,16,-53,-17,126,0.667827539
draw,4.12,3.8,-11.4,-11.72,-11.62,-12.78,3,-41,10,-119,-0.608201026
lose,4.1,6.72,-7.68,-9.69,-4.84,-8.6,10,-110,42,-306,-1.582149358
draw,5.52,-13.67,5.44,6.5,3.56,5.06,-17,292,-92,460,2.407393011
lose,2.84,-1.07,2.33,3.61,2.45,2.34,10,-278,4,-75,-0.379036712
win,4.1,-5.32,4.32,5,4.81,6.44,-7,53,-9,174,0.917824972
win,4.14,-6.39,6.31,8.7,7.09,6.79,-38,214,-17,198,1.042823689
win,3.48,-3.89,5.66,8.39,4.5,5.56,-8,56,-4,95,0.506370864
win,3.79,-5.56,10.56,11.94,10.62,12.12,-28,110,-26,201,1.058448528
win,3.34,-0.65,-1.39,1.06,-1.55,-0.16,-9,60,-3,69,0.370955587
lose,4.22,-7.67,11.77,12,10.39,11.73,-27,345,-18,163,0.860533894
lose,2.98,-0.67,-0.21,1.26,-0.09,-0.59,6,-79,-5,39,0.214707192
draw,2.9,0.09,-0.21,1.26,-0.09,-0.59,-4,91,-2,41,0.225123751
draw,2.94,-0.83,-0.21,1.26,-0.09,-0.59,-6,45,-1,1,0.016792557
win,6.33,-16.89,14.44,15.5,11.56,13.06,-40,411,-58,392,2.053229981
win,3.36,-4.33,8.44,8.42,8.71,9.14,-21,85,-25,200,1.053240248
draw,2.97,-1.59,0.5,1.17,0.12,0.62,-1,4,-3,65,0.350122468
draw,3.54,-3.8,4.91,5.97,5.36,5.66,-15,211,-30,238,1.251154883
draw,5.45,-9.81,7.85,9.91,6.91,8.24,-44,234,-30,301,1.579276514
win,5.5,-13.87,21.44,16.5,22.56,24.06,-41,149,-65,408,2.136562458
draw,4.04,-5.37,8.05,9.5,7.89,8.56,-5,113,-17,156,0.824075935
win,3.74,-4.43,8.59,8.35,7.94,8.29,-8,132,-19,169,0.891783573
lose,4.74,8.04,-9.46,-10.42,-9.58,-10.43,53,-369,37,-353,-1.826938512
win,5.96,-14.9,17.28,14.28,18.56,15.72,-13,122,-61,429,2.245936335
win,3.09,-0.94,0.75,-1.46,1.51,2.25,5,-165,-11,179,0.943866371
win,7.16,-9.66,11.11,11.72,11.45,12.44,-29,420,-33,359,1.881356745
win,3.12,-0.47,3.17,3.39,3.45,3,4,-142,-1,59,0.318872789
win,3.08,-2.1,5.16,4.78,5.81,7.1,-8,135,-8,169,0.891783573
draw,2.98,-0.79,0.84,-0.22,1,0.66,10,-258,6,-63,-0.316537354
lose,3.12,0.13,-0.55,0.84,-0.55,0.5,18,-425,5,-168,-0.863406738
win,3,-0.14,-0.55,0.84,-0.55,0.5,21,-479,1,-29,-0.139455839
win,5.87,-10.58,14.78,15.28,12.56,14.22,-22,201,-62,414,2.167812137
