result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif
draw,3.28,0.45,6,6.6,1.3,6.2,-30,322,20,-88
lose,4.88,7.46,-11,-11.6,-11.8,-8.8,70,-487,45,-190
lose,3.73,2.52,-3,-1.5,0,-3,28,-279,17,-82
draw,3.13,-1.42,-2,0.08,-4.15,-4.08,-14,77,1,-2
draw,4.4,-7.46,8.8,8.61,11.25,8.25,-53,406,-50,213
lose,4.2,7.01,-10.61,-7.98,-11.59,-10.91,28,-821,18,-331
win,3.75,-1.5,13,8.08,13.85,14.92,-20,64,-40,208
lose,3.09,1.31,-5.18,-2.01,-6.36,-6,-1,29,2,-43
lose,3.45,1.27,-2.12,-1.31,-4.21,-3.57,-6,131,26,-209
lose,3.25,-1.85,3.9,6.33,2.45,3.39,-15,48,-9,21
lose,3.04,-0.84,-1.22,-1.11,-2.61,-4.67,-16,334,4,-6
draw,2.93,1.18,-0.73,-0.84,0.22,-1.78,3,-392,5,-198
lose,2.87,1.69,-1.34,-0.95,-1.12,-1.28,5,-15,8,-167
win,4.68,-1.96,5.94,2.83,6.94,6.94,-19,321,-30,227
win,4,-8.2,6.94,1.33,8.44,8.44,-9,50,-18,127
win,2.62,-1.3,5,5.05,5.27,5.44,5,-14,-9,78
win,3.72,-4.42,4.94,3.83,8.94,1.94,-37,610,-29,229
win,3.03,0.75,0.94,0.86,1.15,1.56,7,-37,6,-96
win,4.44,-8.48,16.94,16.33,17.44,15.44,-81,798,-72,371
draw,3.23,2.35,-2.67,-0.73,-3,-2.39,-3,127,4,-52
draw,3.16,1.99,-0.59,-0.97,-0.55,0.78,47,-514,20,-172
win,3.54,-2.29,6.83,6.53,5.6,7,33,-280,-23,136
win,4.3,-7.53,6.03,5.53,4.2,3.4,1,12,-32,173
draw,3.6,-2.83,6.03,5.63,6,6.6,-32,289,-30,146
draw,4.07,4.81,-7.08,-5.53,-8.24,-7.43,58,-697,26,-258
lose,3.05,0.17,-0.85,-3.16,0.76,-1.6,43,-390,19,-170
win,3.59,3.44,0.8,1,1.4,3.6,32,-292,9,-37
lose,6.71,14.89,-13.11,-11.06,-12.44,-10.83,28,-105,43,-285
lose,3.75,5.6,-3.5,-2.67,-1.83,2.5,-7,34,35,-207
lose,3.73,3.28,-0.9,-0.2,-1.6,1.1,10,-203,22,-203
lose,4.58,5.96,-5,-4.5,-3.89,-7.89,34,-727,19,-328
lose,3.22,-1.88,1.67,-0.83,2.83,0.83,-15,93,-1,1
lose,3.06,2.23,-3.33,-2.8,-2.96,-4.55,44,-178,27,-230
lose,3.02,-0.14,0.73,3.79,1.52,-2.11,28,-434,8,-114
win,3.82,5.24,-9.65,-14.24,-6.65,-3.65,29,-457,36,-176
lose,3.21,1.73,-1,-7.08,2.15,6.08,4,-54,29,-128
lose,4.17,6.34,-9.94,-12,-10,-11.5,22,-309,33,-230
draw,3.18,1.53,-1.89,-2.5,-2.11,-2.94,17,-196,16,-74
win,3.4,1.34,-12.35,-13.49,-12.27,-13.08,78,-726,41,-194
draw,3.14,0.32,-6.01,-7.49,-5.88,-6.36,68,-556,47,-238
lose,3.04,0.83,-7.45,-10.9,-5.15,-8.36,65,-518,48,-284
lose,3.29,-0.45,-5.5,-5.1,-7.8,-7.2,28,-211,12,-41
lose,3.55,2.81,-8.61,-7.99,-8.91,-9.92,43,-517,42,-266
win,8.18,17.88,-12.33,-10.54,-12.91,-12.42,59,-1033,14,-160
win,3,-0.11,-3.62,-3.22,-3.92,-6.32,39,-396,4,-9
lose,3.81,3.93,-5.44,-5.38,-5.97,-6.2,44,-463,1,-9
win,2.87,-1.46,9.5,4.9,5.2,14.8,-27,95,-51,230
lose,4.45,-3.95,8.01,5.86,7.44,9.33,-14,502,1,-9
lose,2.99,-0.84,1.33,-0.22,1.88,1.11,0,0,10,-178
win,8.36,-21.46,16.11,15.06,14.44,15.33,-36,868,-41,439
draw,5.08,-8.89,7.61,4.56,11.94,4.33,-34,483,-33,281
lose,3.35,-3.23,3.61,1.59,4.15,3.95,-8,401,4,-76
win,3.19,-2.18,2.67,0.73,3,2.39,-4,451,-7,219
lose,5.16,-11.75,7.67,8.18,8.63,6.39,-17,703,-24,362
win,4,-8.2,13.61,13.56,14.44,11.83,-23,83,-37,240
win,3,-2.53,9.61,8.39,10.61,13.33,-35,139,-8,78
lose,3.36,3.34,-6.68,-6.03,-6.8,-6.88,3,-47,10,-109
draw,2.62,0.73,-6.68,-6.03,-6.8,-6.88,5,-26,7,-90
win,3.1,-1.7,1.76,2.39,1.91,2.26,-16,59,-18,110
win,3.05,-1.66,4.26,5.57,4.56,5.38,-42,431,-6,73
win,2.95,0.83,-1.18,2.59,-1.05,-2.26,10,-190,5,-71
draw,3.68,-5.94,3.94,1.88,2.81,2.44,-18,359,-28,198
win,3.19,-0.75,5.06,3.32,4.87,7.5,-15,261,5,-55
lose,3.51,2.59,-6.34,-8.4,-6.75,-5.28,-12,220,15,-174
draw,4,-5.12,8.44,6.88,5.81,8.94,-19,165,-17,77
win,2.83,-2.42,5.44,2.98,5.61,7.64,6,-25,-31,179
draw,3.02,-0.67,1.94,0.21,1.98,6.94,-5,26,-5,41
lose,6.91,13.29,-21.28,-16.28,-17.56,-27.72,51,-183,95,-624
lose,3.6,5.06,-14.94,-7.88,-10.81,-22.44,21,-70,82,-409
lose,4.26,7.25,-11.44,-14,-11.56,-10.06,12,-132,41,-310
win,3.58,-4.61,4,5.17,3.83,-1.5,12,-56,-29,162
win,3.55,-2.23,-2.61,-3,-4.33,-3.5,-12,179,-75,304
lose,3.07,6.45,-9.44,-8.44,-9.44,-8.72,12,-299,18,-321
lose,3.06,-0.71,-1.61,-5.5,-0.83,-1,-20,140,-5,26
draw,4.09,2.67,-7.55,-8.33,-7.77,-7.94,9,-153,9,-97
lose,4.31,-7.37,5.38,7.69,2.44,3,-25,389,-4,42
win,3.76,1.81,-4.06,-2.81,-6.12,-4.06,-7,91,2,-16
lose,3.1,2.67,-4.9,-2.59,-7.12,-4.72,12,-259,9,-171
draw,3.13,1.39,-4.9,-2.59,-7.12,-4.72,13,-208,-7,90
lose,3.64,2.03,-5.45,-1.75,-7.67,-4.22,14,-264,6,-175
draw,3.27,-2.47,2.38,1.19,0.94,3.5,-14,86,-18,150
lose,3.52,3.85,-2.62,-0.78,-4.85,-1.88,17,-379,8,-213
win,3,0.28,-3.56,-1.64,-6,-3.44,18,-434,3,-36
win,6.75,-17.19,6.88,8.69,3.44,5,-42,402,-51,343
win,3.27,-2.85,6.88,8.79,5.24,8.2,-32,275,-20,151
