result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_dif_predicted
win,3,-0.14,-0.55,0.84,-0.55,0.5,21,-479,1,-29,-0.028889289
win,5.87,-10.58,14.78,15.28,12.56,14.22,-22,201,-62,414,2.417016794
win,4.86,-6.73,12.61,11.78,11.39,12.39,-11,107,-23,243,0.902884457
lose,3.54,0.33,0.63,1.04,0.91,0.07,4,-255,4,-112,-0.145361007
lose,3.12,-1.74,6.34,6,6.39,6.72,-10,170,6,-44,-0.22300882
win,4.61,-7.22,5.78,4.78,11.06,6.72,-17,192,-35,288,1.36877133
win,3.89,-4.95,11.68,10.18,11.86,12.22,-2,55,-14,239,0.553469302
lose,3.08,-2.08,1.34,0.95,1.12,1.28,18,-351,-4,79,0.165230241
win,3.75,-7.61,8.75,10.1,8.97,7.9,-6,58,-17,208,0.66994102
win,4.82,-9.94,10.4,11.04,11.15,11.01,9,-112,-40,328,1.56289086
draw,3.5,-5.56,11.78,11.38,12.36,12.92,-24,88,-44,394,1.718186484
draw,3.25,-3.75,6.34,8.4,6.75,5.28,-30,113,-13,215,0.514645396
draw,2.92,-4.02,6.34,8.4,6.75,5.28,13,-182,-12,152,0.47582149
draw,3.84,-4.62,6.34,8.4,6.75,5.28,-14,162,-9,181,0.359349772
win,5.57,-8.88,6.83,5.44,5.11,5.22,-24,526,-41,460,1.601714766
win,3.28,-1.07,1.3,-2.3,2.06,1.75,-1,67,-1,84,0.048758523
draw,3,-0.34,1.3,-2.3,2.06,1.75,12,-65,1,-2,-0.028889289
win,3.9,-5.72,11.66,10.88,12,11.94,-15,316,-18,291,0.708764926
win,4.94,-10.1,10.83,9.44,10.11,7.22,-5,7,-44,344,1.718186484
win,3.03,0.28,1.39,-1.06,1.55,0.16,-3,97,-2,143,0.087582429
lose,3.35,-0.13,0.55,-0.84,0.55,-0.5,11,-145,7,-152,-0.261832726
draw,5.61,-7.82,7.83,2.94,8.61,7.72,-22,467,-39,451,1.524066954
win,5.16,-8.46,8.71,7.32,8.99,6.1,-11,381,-16,227,0.631117114
draw,9.83,-19.17,12.65,12.03,13.17,12.04,-27,150,-31,237,1.213475705
lose,2.88,-0.83,1.18,0.2,1.46,-0.43,4,-34,3,-43,-0.106537101
lose,3.36,-2.68,1.18,0.2,1.46,-0.43,-6,263,-5,141,0.204054147
draw,3.02,-1.58,1.18,0.2,1.46,-0.43,-11,356,-4,95,0.165230241
lose,4.5,-5.99,6.89,5.16,6.94,6.22,-15,570,-13,151,0.514645396
win,3.8,-5.3,8.05,4.55,9.72,8.89,-17,443,-25,215,0.980532269
draw,4.04,-4.61,8.05,4.55,9.72,8.89,-30,578,-15,187,0.592293208
win,3.53,-1.66,1.89,0.11,1.67,0.78,-3,146,-9,224,0.359349772
win,3.3,-2.44,1.89,0.11,1.67,0.78,6,-46,-4,82,0.165230241
win,3.3,-1.61,1.89,0.11,1.67,0.78,-4,245,-7,149,0.28170196
win,3.42,-1.22,1.89,0.11,1.67,0.78,8,-52,1,-10,-0.028889289
lose,3.73,-4.1,6.16,3.77,5.78,6.89,-13,257,-23,324,0.902884457
win,4.23,-9.67,10.83,14.44,8.11,3.22,-22,487,-27,285,1.058180081
lose,3.32,0.17,-0.78,-0.62,-1.33,-1.61,5,-454,3,-49,-0.106537101
lose,3.16,0.78,-0.78,-0.62,-1.33,-1.61,1,-44,6,-134,-0.22300882
win,4.63,-6.18,8.07,4.97,8.35,7.04,-17,602,-8,87,0.320525866
win,3.46,-4,8.07,4.97,8.35,7.04,2,-24,-8,107,0.320525866
win,4.24,-6.29,6.56,4.84,6.11,6.55,-11,381,-9,136,0.359349772
win,4.31,-5.84,8.83,7.77,9.28,11.72,-25,505,-22,269,0.864060551
draw,3.14,-0.93,3.83,7.94,3.39,4.22,13,-34,6,-34,-0.22300882
lose,4.23,6.09,-7.83,-2.94,-8.61,-7.72,28,-350,24,-325,-0.921839129
lose,3.4,-0.55,1.61,5.5,0.83,1,10,-168,21,-130,-0.805367411
win,3.25,-0.55,1.61,5.5,0.83,1,42,-159,9,-20,-0.339480538
lose,4.09,5.61,-7.41,-9.62,-6.93,-4.35,5,-52,21,-242,-0.805367411
lose,3.18,1.07,-1.01,0.32,-0.35,0.85,-19,215,-5,50,0.204054147
win,3.57,2.01,-0.88,-2.48,-1.68,1.32,-5,143,8,-18,-0.300656632
win,3.18,1.7,-2.38,-3.38,2.62,0.12,-9,74,-24,97,0.941708363
lose,3.31,1.1,-2.41,-2.41,-2.08,-0.28,-12,253,18,-109,-0.688895692
win,3.59,3.25,-2.41,-2.41,-2.08,-0.28,2,-7,6,-62,-0.22300882
lose,3.71,3.5,-9.49,-7.94,-10.32,-7.71,7,-235,26,-327,-0.999486941
lose,3.06,0.38,-0.64,-2.35,-0.64,0.94,-13,250,-3,14,0.126406335
lose,3.47,4,-8.1,-9.2,-7,-6,22,-196,33,-217,-1.271254284
lose,4.11,4.1,-3.38,-3.56,-0.94,-1.44,19,-160,52,-295,-2.008908499
lose,4.47,5.52,-8.44,-6.88,-5.81,-8.94,34,-421,47,-240,-1.814788969
lose,3.63,5.46,-8.93,-9.48,-9.17,-9.54,19,-549,26,-215,-0.999486941
draw,5.54,11.27,-12.1,-12.87,-12.62,-12.54,38,-295,38,-389,-1.465373814
draw,4.05,7.99,-10.76,-11.92,-11.5,-11.26,13,-274,31,-239,-1.193606472
lose,4.44,6.95,-10.76,-11.92,-11.5,-11.26,35,-202,32,-247,-1.232430378
win,3.17,1.43,-4.27,-3.5,-2.65,-4.91,26,-330,-19,95,0.747588832
lose,3.94,2.47,-7.45,-7,-5.58,-5.29,5,-89,36,-256,-1.387726002
draw,3,-0.48,-0.51,1.09,1.23,0.15,16,-184,-12,75,0.47582149
draw,3.1,-0.2,3,8,2,0,-42,135,-30,176,1.174651799
draw,3.5,2.97,-2.5,2.5,1.5,-3,-4,26,3,-6,-0.106537101
draw,4.06,4.63,-6.94,-1.33,-8.44,-8.44,29,-561,11,-136,-0.41712835
lose,6.79,18.31,-9.61,-2.06,-11.44,-10.83,26,-434,15,-188,-0.572423974
win,3.7,-5.6,10.48,10.68,10.54,12.37,-36,131,-27,257,1.058180081
win,3.88,-5.67,7.71,7.24,7.83,7.41,-13,94,-30,302,1.174651799
lose,4.03,-4.94,9.65,9.24,8.65,7.65,-24,377,-1,19,0.048758523
draw,3.12,-0.84,4.53,3.74,4.9,7.03,1,-9,-6,31,0.242878053
draw,2.79,-0.56,-0.63,-1.04,-0.91,-0.07,7,-27,1,-42,-0.028889289
win,3.3,-5,6.65,2.74,7.15,8.15,-38,133,-31,265,1.213475705
draw,5.85,-14.42,17.45,15.77,20.05,17.98,-78,809,-57,261,2.222897264
draw,3.02,-1.71,8.65,7.16,8.8,9.73,-25,403,-7,48,0.28170196
win,4.69,-7.03,8.12,9.06,8.06,7.83,-13,218,-23,182,0.902884457
lose,3.13,-1.41,8.12,9.06,8.06,7.83,-16,181,-14,142,0.553469302
draw,3.44,-3.84,9.77,10,10.24,10.94,-10,410,-9,168,0.359349772
win,2.91,2.3,-1.96,-0.82,-2.79,-1.18,12,-379,1,-36,-0.028889289
draw,3.16,-0.65,-1.96,-0.82,-2.79,-1.18,4,-20,2,-6,-0.067713195
win,3.05,-2.73,6.89,4.77,6.89,7.47,-20,220,-19,175,0.747588832
win,3.6,-4.45,5.71,7.36,5.84,5.21,-6,32,-4,97,0.165230241
win,4.55,-6.67,5.38,4.64,4.65,6.98,-22,138,-32,304,1.252299612
win,3.38,-5.28,7.65,7.57,7.82,12.15,-28,112,-17,214,0.66994102
lose,3.46,-0.23,4.27,1.55,6.21,4.65,1,-12,3,-23,-0.106537101
win,3.97,-7.02,8.8,7.09,8.03,8.88,-8,63,-13,195,0.514645396
win,3.29,-0.01,0,2.6,-1.2,-2.2,-30,271,7,-38,-0.261832726
draw,3.15,1.72,-5.94,-4.73,-5.64,-6.64,11,-311,27,-181,-1.038310847
win,3.2,-0.9,-1.67,-1.07,-1.53,-0.53,-5,14,-4,11,0.165230241
lose,5.25,10.79,-6.67,-8.17,-4.22,-6.22,14,-125,39,-352,-1.50419772
win,3.11,1.45,1.69,0.44,4.19,3.25,32,-185,-33,138,1.291123518
lose,3.71,1.37,-1.9,-4.2,-0.6,0.1,43,-559,24,-291,-0.921839129
draw,3.3,3.39,-2.12,-3.5,0.25,1.38,-5,13,31,-168,-1.193606472
draw,3.4,-0.68,0.88,-0.12,2.88,0.88,35,-414,-15,56,0.592293208
lose,3.1,0.14,0.22,-2.89,3.61,3.67,50,-611,4,-21,-0.145361007
draw,2.95,0.62,-1,-4,1,-1,34,-277,8,-27,-0.300656632
draw,3.5,-6.6,4.94,4.28,5.17,3,-56,199,-39,225,1.524066954
win,3.15,-1.57,2.63,2.72,3.36,2.25,-29,276,-38,248,1.485243048
lose,3.37,-1.28,1.18,-0.19,1.41,0.82,-2,32,5,-64,-0.184184913
lose,1.91,0.02,-1.44,-3.41,0.73,-2,-3,38,1,-46,-0.028889289
lose,2.99,-1.98,2,-2.5,-0.5,6.5,8,-49,18,-93,-0.688895692
draw,3.22,0.44,-1.53,-3.27,-0.76,-0.59,6,-145,2,-20,-0.067713195
draw,3,1.4,-1.53,-3.27,-0.76,-0.59,-1,18,-1,12,0.048758523
win,3.93,-4.54,6.06,6.47,6.47,4.64,-9,78,-25,200,0.980532269
win,3.27,2.09,-1.67,-1.7,-0.93,-3.34,1,-280,-1,10,0.048758523
win,3.52,0.02,4.4,4.27,3.29,5.38,-6,101,-3,67,0.126406335
draw,4.16,-5.52,8,8.47,7.29,4.88,-22,363,-11,164,0.436997584
lose,3.98,-4.55,4.87,6.67,5.82,4.61,-28,153,-11,95,0.436997584
win,3.93,-5.49,4.22,6.36,3.23,3.38,-25,461,-30,373,1.174651799
lose,3.57,-3.7,4.22,6.36,3.23,3.38,-9,333,-18,221,0.708764926
win,3.05,-0.14,-2.28,-1.81,-2.27,-2.84,2,-73,-6,135,0.242878053
lose,3.24,0.48,-2.83,-0.97,-2.82,-2.34,-1,20,2,-55,-0.067713195
win,2.98,0.75,-1.65,-0.77,-1.36,-2.77,6,-328,-2,23,0.087582429
win,3.1,-1.7,5,3.87,4.49,5.08,-39,164,-23,219,0.902884457
win,4.1,-6.97,5,6.47,3.29,2.88,-40,559,-16,318,0.631117114
win,3.35,-1.61,4.06,4.19,4.12,3.88,-12,214,-9,138,0.359349772
win,6.77,-11.15,11,11.47,6.29,12.88,-51,247,-42,299,1.640538672
win,3.67,0.32,8.12,9.23,8.88,8.17,-4,82,-11,191,0.436997584
lose,3.75,-3.33,3.47,3.94,4.09,3.48,-14,309,-7,146,0.28170196
win,4.35,-7.75,8,13.47,5.29,0.88,-30,536,-46,448,1.795834297
lose,3.33,1.76,-3.61,-1.59,-4.15,-3.95,2,-339,1,-11,-0.028889289
win,4.39,-5.15,6,6.8,6.46,9.38,-10,88,-13,112,0.514645396
draw,3.91,5.92,-7.8,-1.53,-13.4,-14.33,49,-352,21,-85,-0.805367411
lose,5.08,4.36,-5.03,-6.24,-9.55,-4.47,47,-697,29,-202,-1.115958659
lose,4.09,7.56,-5.03,-6.24,-9.55,-4.47,34,-550,39,-372,-1.50419772
win,3.65,2.36,3.5,1.5,-3.5,3,18,-198,6,-32,-0.22300882
win,3.07,0.32,6.83,7,0.33,5.67,29,-308,-4,44,0.165230241
draw,3.28,0.45,6,6.6,1.3,6.2,-30,322,20,-88,-0.766543505
lose,4.88,7.46,-11,-11.6,-11.8,-8.8,70,-487,45,-190,-1.737141157
lose,4.77,12.36,-13.71,-15.03,-14.05,-11.46,26,-522,49,-391,-1.892436781
lose,3.73,2.52,-3,-1.5,0,-3,28,-279,17,-82,-0.650071786
draw,3.13,-1.42,-2,0.08,-4.15,-4.08,-14,77,1,-2,-0.028889289
draw,4.4,-7.46,8.8,8.61,11.25,8.25,-53,406,-50,213,1.951129921
lose,4.2,7.01,-10.61,-7.98,-11.59,-10.91,28,-821,18,-331,-0.688895692
win,3.75,-1.5,13,8.08,13.85,14.92,-20,64,-40,208,1.56289086
lose,3.09,1.31,-5.18,-2.01,-6.36,-6,-1,29,2,-43,-0.067713195
